threatened_plant_id,soil,sun,propagation_methods,propagation_level,cultivation_note
3170,Free Draining,Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3171,Free Draining,Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3172,Free Draining,Shade,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3173,Moderately Draining,Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3174,Moderately Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3175,"Free Draining, Moderately Draining","Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3176,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3177,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3178,Free Draining,Part Shade,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3179,Moderately Draining,"Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3180,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3181,"Moderately Draining, Heavy",Full Sun,Seed/Division,Can be propagated - but requires significant time/effort,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3182,Moderately Draining,Full Sun,Seed/Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3183,Moderately Draining,Full Sun,Seed,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3184,Moderately Draining,"Full Sun, Part Shade",Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3185,Moderately Draining,"Part Shade, Shade",Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3186,Free Draining,Full Sun,Seed/Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3187,Moderately Draining,Part Shade,Seed,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3188,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3189,Free Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3190,Free Draining,Full Sun,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3191,"Free Draining, Moderately Draining",Part Shade,Seed/Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3192,"Moderately Draining, Heavy",Full Sun,Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3193,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3194,"Moderately Draining, Heavy","Full Sun, Part Shade",Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3195,Moderately Draining,Part Shade,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3196,Free Draining,"Full Sun, Part Shade",Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3197,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3198,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3199,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3200,Moderately Draining,Full Sun,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
