Species Name,Common Name,Habit,Soil,Sun,Cultivation Protocols ,Propagation Protocols ,Propagation Methods,Cultivation Requirements Subtotal,Germplasm Source,Conservation Status,Germplasm Origin,Provenance,"Additional Conservation
benefit",Conservation Subtotal,"Additional Local Benefits Description (i.e., to City of Melbourne)",Additional Local Benefits Subtotal,Total Score,Horticultural Potential ,Total Score Including Hort Potential,Weed Rating,Priority species
Prostanthera rhombea,Sparkling Mint-bush,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Scaevola calendulacea,Dune Fan-flower,Small Shrub less than 1 metre,Free Draining,Full Sun,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Cuttings,8,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Medium Risk,YES
Senna aciphylla,Sprawling Cassia,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Calotis anthemoides,Cut-Leaf Burr-Daisy,Herbaceous Perennial,"Moderately Draining, Heavy",Full Sun,3 -  Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,3 - Not held in collection but easily obtained,5 - Critically Endangered,0 - Unsourced,2 - Indigenous to City of Melbourne,0,10,Culturally Important to Traditional owners / and or local community,1,17,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,20,Medium Risk,NO
Coronidium gunnianum,Pale Swamp Everlasting,Herbaceous Perennial,Heavy,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,2 - Indigenous to City of Melbourne,0,14,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,22,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,25,Low Risk,YES
Dianella longifolia var. grandis,Arching Flax-lily,Grass or Grasslike,Free Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,3 - Not held in collection but easily obtained,5 - Critically Endangered,0 - Unsourced,2 - Indigenous to City of Melbourne,0,10,Culturally Important to Traditional owners / and or local community,1,18,5 - Highly ornamental - feature plants,23,Low Risk,NO
Geranium solanderi var. solanderi,Austral Crane's-bill,Herbaceous Perennial,"Free Draining, Moderately Draining",Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings/Division,7,3 - Not held in collection but easily obtained,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,11,Culturally Important to Traditional owners / and or local community,1,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Medium Risk,NO
Swainsona behriana,Southern Swainson-pea,Small Shrub less than 1 metre,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,2 - Indigenous to City of Melbourne,0,13,Culturally Important to Traditional owners / and or local community,1,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Medium Risk,YES
Xanthosia tasmanica,Southern Xanthosia,Herbaceous Perennial,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Cuttings,5,2* = Not held in collection moderately difficult to collect,4 - Endangered,0 - Unsourced,2 - Indigenous to City of Melbourne,0,8,Culturally Important to Traditional owners / and or local community,1,14,"2 - Plant with limited ornamental attributes, (form/flowers/fruit etc.) - Limited display potential",16,Low Risk,NO
Amphibromus pithogastrus,Plump Swamp Wallaby-grass,Grass or Grasslike,"Moderately Draining, Heavy","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,13,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Low Risk,YES
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,14,"Culturally Important to Traditional owners / and or local community, Good Story",2,22,5 - Highly ornamental - feature plants,27,Low Risk,YES
Eucalyptus yarraensis,Yarra Gum,Medium Tree 10 to 20 metres,Moderately Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,13,N/A,0,20,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,23,Medium Risk,YES
Leucochrysum albicans subsp. tricolor,White Sunray,Annual,Free Draining,Full Sun,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Seed/Cuttings,5,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,12,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Medium Risk,NO
Acacia aspera subsp. parviceps,Rough Wattle,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Medium Risk,NO
Acacia boormanii subsp. gibba (East Gippsland),Snowy River Wattle,Large Shrub above 3 metres,Free Draining,"Full Sun, Part Shade",5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Seed/Cuttings,8,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,Good Story,1,22,5 - Highly ornamental - feature plants,27,Medium Risk,YES
Acacia enterocarpa,Jumping-Jack Wattle,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed,6,3 - Not held in collection but easily obtained,4 - Endangered,3 - Wild,0 - Native to Victoria,0,10,N/A,0,16,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,19,Medium Risk,NO
Acacia glandulicarpa,Hairy-pod Wattle,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Acacia pendula,Weeping Myall,Small Tree less than 10 metres,"Free Draining, Moderately Draining",Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,13,N/A,0,20,5 - Highly ornamental - feature plants,25,Medium Risk,YES
Acronychia oblongifolia,Yellow-wood,Medium Tree 10 to 20 metres,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,5 - Critically Endangered,0 - Unsourced,0 - Native to Victoria,0,10,N/A,0,16,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,20,Medium Risk,NO
Androcalva tatei,Trailing Commersonia,Prostrate,Free Draining,Full Sun,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,2 - Can be propagated - but requires significant time/effort,Seed/Cuttings,4,1* = Not held in collection with little prospect of collecting,5 - Critically Endangered,0 - Unsourced,0 - Native to Victoria,0,5,N/A,0,9,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,12,Low Risk,NO
Asterolasia phebalioides,Downy Star-Bush,Small Shrub less than 1 metre,"Free Draining, Moderately Draining","Part Shade, Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,4 - Currently held limited propagation material,3 - Threatened,3 - Wild,0 - Native to Victoria,0,10,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Low Risk,NO
Bauera sessiliflora,Grampians Bauera,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Genotyped Collection,13,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,21,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,25,Low Risk,YES
Brachyscome riparia,Snowy River Daisy,Herbaceous Perennial,"Moderately Draining, Heavy","Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,2* = Not held in collection moderately difficult to collect,4 - Endangered,0 - Unsourced,0 - Native to Victoria,1 - Bushfire Recovery,7,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,14,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,17,Low Risk,NO
Cassinia venusta,Elegant Cassinia,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining","Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,11,N/A,1,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Low Risk,NO
Correa alba var. pannosa,Velvet White Correa,Small Shrub less than 1 metre,"Free Draining, Moderately Draining",Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,*High Risk,NO
Correa lawrenceana var. genoensis,Genoa River Correa,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining, Heavy","Part Shade, Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,"2 - Bushfire Recovery, Living collection critical as sufficient seed is not or cannot be collected and stored",15,N/A,0,22,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,25,Medium Risk,YES
Correa lawrenceana var. grampiana,Grampians Mountain-correa,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade, Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Cryptandra speciosa subsp. speciosa,Mountain Cryptandra,Small Shrub less than 1 metre,Moderately Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Cuttings,5,2* = Not held in collection moderately difficult to collect,5 - Critically Endangered,0 - Unsourced,0 - Native to Victoria,0,7,N/A,0,12,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,15,Low Risk,NO
Dampiera galbraithiana,Licola Dampiera,Herbaceous Perennial,Moderately Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Low Risk,NO
Darwinia micropetala,Small Darwinia,Small Shrub less than 1 metre,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Medium Risk,NO
Dodonaea boroniifolia,Hairy Hop-bush,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Eremophila maculata subsp. maculata,Spotted Emu-bush,Medium Shrub 1 to 3 metres,"Moderately Draining, Heavy",Full Sun,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Cuttings,8,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,20,5 - Highly ornamental - feature plants,25,Low Risk,YES
Eucalyptus crenulata,Buxton Gum,Medium Tree 10 to 20 metres,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,5 - Highly ornamental - feature plants,24,Medium Risk,NO
Eucalyptus mitchelliana,Buffalo Sally,Medium Tree 10 to 20 metres,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed,6,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,11,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Medium Risk,NO
Geijera parviflora,Wilga,Small Tree less than 10 metres,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,2 - Can be propagated - but requires significant time/effort,Seed/Cuttings,6,5 - Currently held in collection,5 - Critically Endangered,0 - Unsourced,0 - Native to Victoria,0,8,N/A,0,14,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,18,Low Risk,NO
Grevillea bedggoodiana,Enfield Grevillea,Prostrate,Moderately Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Medium Risk,NO
Grevillea pachylostyla,Buchan River Grevillea,Small Shrub less than 1 metre,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Cuttings,5,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,"2 - Bushfire Recovery, Genotyped Collection",15,N/A,0,20,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,23,Low Risk,YES
Grevillea repens,Creeping Grevillea,Prostrate,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Medium Risk,NO
Hibbertia dentata,Trailing Guinea-flower,Climber,"Free Draining, Moderately Draining",Part Shade,3 -  Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,5 - Highly ornamental - feature plants,23,Medium Risk,NO
Hovea asperifolia subsp. spinosissima,Rough Hovea,Medium Shrub 1 to 3 metres,Moderately Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,13,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Medium Risk,NO
Hovea rosmarinifolia,Rosemary Hovea,Medium Shrub 1 to 3 metres,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Leptospermum micromyrtus,Button Tea-tree,Medium Shrub 1 to 3 metres,Free Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Leptospermum turbinatum,Shiny Tea-tree,Medium Shrub 1 to 3 metres,"Moderately Draining, Heavy",Full Sun,5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Seed/Cuttings,8,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Medium Risk,YES
Lepyrodia flexuosa,Twisting Scale-rush,Grass or Grasslike,"Moderately Draining, Heavy",Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,2 - Can be propagated - but requires significant time/effort,Seed/Division,6,5 - Currently held in collection,2 - Vulnerable,3 - Wild,0 - Native to Victoria,0,10,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",1,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Low Risk,NO
Leucopogon neurophyllus,Veined Beard-heath,Medium Shrub 1 to 3 metres,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Cuttings,5,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,17,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,21,Low Risk,NO
Maireana sedifolia,Pearl Bluebush,Small Shrub less than 1 metre,Moderately Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,2 - Can be propagated - but requires significant time/effort,Seed/Cuttings,5,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,0,11,N/A,0,16,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,20,Low Risk,NO
Microcybe multiflora subsp. multiflora,Red Microcybe,Small Shrub less than 1 metre,"Free Draining, Moderately Draining","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,3 - Not held in collection but easily obtained,4 - Endangered,0 - Unsourced,0 - Native to Victoria,0,7,N/A,0,14,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,18,Low Risk,NO
Mirbelia rubiifolia,Heathy Mirbelia,Small Shrub less than 1 metre,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Low Risk,YES
Nematolepis frondosa,Leafy Nematolepis,Large Shrub above 3 metres,Free Draining,Part Shade,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Cuttings,5,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Low Risk,YES
Nematolepis wilsonii,Shiny Nematolepis,Large Shrub above 3 metres,Free Draining,Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,Good Story,1,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Medium Risk,NO
Olearia brevipedunculata,Rusty Daisy-bush,Small Shrub less than 1 metre,Moderately Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Low Risk,NO
Olearia tomentosa,Toothed Daisy-bush,Medium Shrub 1 to 3 metres,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,13,N/A,0,20,5 - Highly ornamental - feature plants,25,Medium Risk,YES
Ozothamnus argophyllus,Spicy Everlasting,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Part Shade,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Cuttings,6,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,0 - Native to Victoria,1 - Bushfire Recovery,12,N/A,0,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Medium Risk,NO
Pelargonium helmsii,Alpine Stork's-bill,Herbaceous Perennial,Moderately Draining,"Full Sun, Part Shade",3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,3 - Not held in collection but easily obtained,4 - Endangered,3 - Wild,0 - Native to Victoria,0,10,N/A,0,16,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,20,Low Risk,NO
Persoonia asperula,Mountain Geebung,Small Shrub less than 1 metre,Free Draining,"Full Sun, Part Shade",2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,3 - Easily propagated,Seed/Cuttings,5,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,1 - Living collection critical as sufficient seed is not or cannot be collected and stored,13,N/A,0,18,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,22,Medium Risk,NO
Philotheca myoporoides subsp. euroensis,Wax-Flower,Small Shrub less than 1 metre,Free Draining,Full Sun,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,3 - Not held in collection but easily obtained,5 - Critically Endangered,0 - Unsourced,0 - Native to Victoria,0,8,N/A,0,15,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,19,Low Risk,NO
Pimelea ligustrina subsp. ciliata,Fringed Rice-flower,Medium Shrub 1 to 3 metres,"Free Draining, Moderately Draining",Part Shade,4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Cuttings,7,5 - Currently held in collection,4 - Endangered,3 - Wild,0 - Native to Victoria,0,12,N/A,0,19,5 - Highly ornamental - feature plants,24,Medium Risk,NO
Pimelea pagophila,Grampians Rice-flower,Medium Shrub 1 to 3 metres,Free Draining,Part Shade,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,2 - Can be propagated - but requires significant time/effort,Cuttings,4,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,0 - Native to Victoria,1 - Living collection critical as sufficient seed is not or cannot be collected and stored,12,N/A,0,16,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,20,Low Risk,NO
